(0-0)+0=0;(1*1)-1=1
(2*2)-(2-4)=6;(3/3)*(3*5)=7
3+(4+2)=9;4-(5-3)=0
(1-0)+(0-0)=1;(2*1)-(1*1)=2
(1+2)+(1+3)=7;(2-3)-(2-4)=8
(2*3)-(0+3)=3;(3/4)*(1-4)=4
(4*0)+(2-2)=0;(5/1)-(3*3)=1
(3*4)*(4*0)=0;(4/5)/(5/1)=1
(3*1)+3=6;(4/2)-4=7
(0*0)+(3*4)=12;(1/1)-(4/5)=23
(1+1)*(0*2)=0;(2-2)/(1/3)=1
(4+0)*(4-2)=8;(5-1)/(5*3)=9
(2-0)-(0+2)=0;(3*1)*(1-3)=1
(2-0)+(1*3)=5;(3*1)-(2/4)=6
(4+1)*(1*1)=5;(5-2)/(2/2)=6
(4+1)*(2*1)=10;(5-2)/(3/2)=21
(2+0)*(4*4)=32;(3-1)/(5/5)=43
(0+3)-(1*1)=2;(1-4)*(2/2)=3
(4*2)+(4*1)=12;(5/3)-(5/2)=23
(3*2)+(3*2)=12;(4/3)-(4/3)=23
(2+2)-(3-4)=5;(3-3)*(4*5)=6
(3+1)-(4*1)=0;(4-2)*(5/2)=1
(0*4)*(4+3)=0;(1/5)/(5-4)=1
(1*3)+(3+0)=6;(2/4)-(4-1)=7
(2-2)-(2*0)=0;(3*3)*(3/1)=1
(1-0)+(4*0)=1;(2*1)-(5/1)=2
(2*0)+(2*1)=2;(3/1)-(3/2)=3
(2+4)-(1*3)=3;(3-5)*(2/4)=4
(3+4)*(3+2)=35;(4-5)/(4-3)=46
(3*2)*(2-0)=12;(4/3)/(3*1)=23
(3+2)*(2*2)=20;(4-3)/(3/3)=31
(2*4)-(4-1)=5;(3/5)*(5*2)=6
(0*2)*(0-4)=0;(1/3)/(1*5)=1
(2+0)-(1+0)=1;(3-1)*(2-1)=2
(2*3)-(1-1)=6;(3/4)*(2*2)=7
(1+2)*(1*2)=6;(2-3)/(2/3)=7
(2+0)+(1*3)=5;(3-1)-(2/4)=6
(0*4)*(1*3)=0;(1/5)/(2/4)=1
(1-3)+(0+3)=1;(2*4)-(1-4)=2
(3+4)+(4*0)=7;(4-5)-(5/1)=8
(1+3)+(2+1)=7;(2-4)-(3-2)=8
(4+4)-2=6;(5-5)*3=7
(2+2)-(3-1)=2;(3-3)*(4*2)=3
(4*2)-(4+1)=3;(5/3)*(5-2)=4
(0*3)+(0+1)=1;(1/4)-(1-2)=2
(0-0)*(1*2)=0;(1*1)/(2/3)=1
(2+3)-(0-0)=5;(3-4)*(1*1)=6
(4+4)-(1*0)=8;(5-5)*(2/1)=9
(3+4)-(2-3)=8;(4-5)*(3*4)=9
(3+3)-(2-1)=5;(4-4)*(3*2)=6
(2*0)+1=1;(3/1)-2=2
(4-2)*(2-1)=2;(5*3)/(3*2)=3
(2*3)+(1*3)=9;(3/4)-(2/4)=0
(3+4)-(1*0)=7;(4-5)*(2/1)=8
(1+0)-(2-1)=0;(2-1)*(3*2)=1
(2*0)*(0-0)=0;(3/1)/(1*1)=1
(3*2)-(2-3)=7;(4/3)*(3*4)=8
(3-4)+(1-0)=0;(4*5)-(2*1)=1
(4+0)+(3*0)=4;(5-1)-(4/1)=5
3-(2-2)=3;4*(3*3)=4
(1*2)*(0*2)=0;(2/3)/(1/3)=1
(2*2)-(1+0)=3;(3/3)*(2-1)=4
(2-2)*(2*4)=0;(3*3)/(3/5)=1
(3+3)+(1+0)=7;(4-4)-(2-1)=8
(4*0)+(4+2)=6;(5/1)-(5-3)=7
(4+1)*(1*2)=10;(5-2)/(2/3)=21
(1+4)+(4-0)=9;(2-5)-(5*1)=0
(0+0)+1=1;(1-1)-2=2
(3*2)+(0*3)=6;(4/3)-(1/4)=7
(3*0)-(0*3)=0;(4/1)*(1/4)=1
(0*2)*0=0;(1/3)/1=1
(4*4)+2=18;(5/5)-3=29
(2*0)*(4+3)=0;(3/1)/(5-4)=1
(0+2)+(2-2)=2;(1-3)-(3*3)=3
(4-4)*(1*1)=0;(5*5)/(2/2)=1
(0+0)+(3+3)=6;(1-1)-(4-4)=7
(0*3)+(2*4)=8;(1/4)-(3/5)=9
(3*1)+(3*0)=3;(4/2)-(4/1)=4
(3-2)*(0+3)=3;(4*3)/(1-4)=4
(2*0)*(2+3)=0;(3/1)/(3-4)=1
(4*4)-(4+3)=9;(5/5)*(5-4)=0
(3-2)-(2-1)=0;(4*3)*(3*2)=1
(2*1)+(2*2)=6;(3/2)-(3/3)=7
(3-3)+0=0;(4*4)-1=1
(0+3)*(1+3)=12;(1-4)/(2-4)=23
0*0=0;1/1=1
(4*1)-(0+4)=0;(5/2)*(1-5)=1
(2*0)-(0*4)=0;(3/1)*(1/5)=1
(4+4)+(4+1)=13;(5-5)-(5-2)=24
(2*1)*(0+2)=4;(3/2)/(1-3)=5
(2-1)-(1-3)=3;(3*2)*(2*4)=4
(3+1)-(1+0)=3;(4-2)*(2-1)=4
(0-0)*(0-0)=0;(1*1)/(1*1)=1
(2+1)+(3+0)=6;(3-2)-(4-1)=7
(4+0)*(0*3)=0;(5-1)/(1/4)=1
(1+1)*(4-1)=6;(2-2)/(5*2)=7
(3+2)*(4-1)=15;(4-3)/(5*2)=26
(0*1)+(1*2)=2;(1/2)-(2/3)=3
(0*4)+2=2;(1/5)-3=3
(2-3)+(4+4)=7;(3*4)-(5-5)=8
(0+2)-(0+0)=2;(1-3)*(1-1)=3
(4-2)-(2-0)=0;(5*3)*(3*1)=1
(0*3)*(0*0)=0;(1/4)/(1/1)=1
(2*2)+(3*1)=7;(3/3)-(4/2)=8
(3*3)+1=10;(4/4)-2=21
(0+3)-(1-0)=2;(1-4)*(2*1)=3
(2-2)*(0-4)=0;(3*3)/(1*5)=1
(3+4)*(0*2)=0;(4-5)/(1/3)=1
(0-2)*(0+0)=0;(1*3)/(1-1)=1
(4-3)+(3-0)=4;(5*4)-(4*1)=5
(3+1)-(1*1)=3;(4-2)*(2/2)=4
(0+3)*(4+2)=18;(1-4)/(5-3)=29
(0+4)*3=12;(1-5)/4=23
(4+1)-(0+2)=3;(5-2)*(1-3)=4
(0*3)*(3-3)=0;(1/4)/(4*4)=1
0+(0*0)=0;1-(1/1)=1
(4-4)+(2*1)=2;(5*5)-(3/2)=3
(4+4)*(4-3)=8;(5-5)/(5*4)=9
(1*0)+(0*2)=0;(2/1)-(1/3)=1
(3-1)*(1+0)=2;(4*2)/(2-1)=3
(1*2)+(1+1)=4;(2/3)-(2-2)=5
(0*4)*(0*4)=0;(1/5)/(1/5)=1
2+(3-0)=5;3-(4*1)=6
(2+0)-(2-4)=4;(3-1)*(3*5)=5
(2-4)*(4-4)=0;(3*5)/(5*5)=1
1+(2*3)=7;2-(3/4)=8
(2*4)*(4+3)=56;(3/5)/(5-4)=67
(2+2)-3=1;(3-3)*4=2
(1-0)*(4+4)=8;(2*1)/(5-5)=9
(3+2)*(0*3)=0;(4-3)/(1/4)=1
(2+3)-(2-4)=7;(3-4)*(3*5)=8
(0+2)*(2*3)=12;(1-3)/(3/4)=23
(3+0)*(2+2)=12;(4-1)/(3-3)=23
(3-2)*(1*1)=1;(4*3)/(2/2)=2
(3*1)-(1-2)=4;(4/2)*(2*3)=5
(2-0)+(3+2)=7;(3*1)-(4-3)=8
(0+0)+(1-1)=0;(1-1)-(2*2)=1
(3*3)+(1*1)=10;(4/4)-(2/2)=21
2+(0*3)=2;3-(1/4)=3
(3*2)-3=3;(4/3)*4=4
(2+1)+(1*4)=7;(3-2)-(2/5)=8
(4-1)-(0*4)=3;(5*2)*(1/5)=4
(0+2)+(1*2)=4;(1-3)-(2/3)=5
(4-2)+(1+3)=6;(5*3)-(2-4)=7
(4*4)-(0-1)=17;(5/5)*(1*2)=28
(4-1)-(1-2)=4;(5*2)*(2*3)=5
(1*2)+(3+4)=9;(2/3)-(4-5)=0
(3-3)+(0*4)=0;(4*4)-(1/5)=1
(3-2)+(4-3)=2;(4*3)-(5*4)=3
(0+2)-(0+1)=1;(1-3)*(1-2)=2
(4+1)+(0*3)=5;(5-2)-(1/4)=6
(4+4)-(2*1)=6;(5-5)*(3/2)=7
4+(3*4)=16;5-(4/5)=27
(2+2)+(3+3)=10;(3-3)-(4-4)=21
(4*3)-(4-0)=8;(5/4)*(5*1)=9
(0*1)*(3+3)=0;(1/2)/(4-4)=1
(2+0)-(3-4)=3;(3-1)*(4*5)=4
(4+1)-0=5;(5-2)*1=6
(2-1)-(3-2)=0;(3*2)*(4*3)=1
(3+1)-(1-2)=5;(4-2)*(2*3)=6
(1-3)+4=2;(2*4)-5=3
(2+0)*(1*1)=2;(3-1)/(2/2)=3
(0*4)*0=0;(1/5)/1=1
(2*0)*2=0;(3/1)/3=1
(0+4)*(0*4)=0;(1-5)/(1/5)=1
(1-2)*(0-1)=1;(2*3)/(1*2)=2
1+(3+0)=4;2-(4-1)=5
(4+3)*(3*0)=0;(5-4)/(4/1)=1
(4+4)*(1-1)=0;(5-5)/(2*2)=1
(0-2)+(2+1)=1;(1*3)-(3-2)=2
(3*4)+(3-1)=14;(4/5)-(4*2)=25
(1+1)+(0-1)=1;(2-2)-(1*2)=2
(3*3)+(0*2)=9;(4/4)-(1/3)=0
(4*2)*(2-1)=8;(5/3)/(3*2)=9
(3+1)*(0+2)=8;(4-2)/(1-3)=9
(2*2)*(2+4)=24;(3/3)/(3-5)=35
(4-3)*(1+4)=5;(5*4)/(2-5)=6
(0-4)*(1-1)=0;(1*5)/(2*2)=1
(3-3)*(2+0)=0;(4*4)/(3-1)=1
(2-0)*(2*4)=16;(3*1)/(3/5)=27
(1*1)+(4*3)=13;(2/2)-(5/4)=24
4+(1+0)=5;5-(2-1)=6
(2*4)+(4-2)=10;(3/5)-(5*3)=21
(2+2)+(2-2)=4;(3-3)-(3*3)=5
(1-1)+(4+4)=8;(2*2)-(5-5)=9
(3+1)*(3*1)=12;(4-2)/(4/2)=23
(2-0)+(0-1)=1;(3*1)-(1*2)=2
(1+0)+(3+2)=6;(2-1)-(4-3)=7
(0-0)*(2-2)=0;(1*1)/(3*3)=1
(2+0)-(2*1)=0;(3-1)*(3/2)=1
(4+2)*(4+0)=24;(5-3)/(5-1)=35
(2*0)-(1-2)=1;(3/1)*(2*3)=2
(3+4)*(4-1)=21;(4-5)/(5*2)=32
(3+2)+(2*1)=7;(4-3)-(3/2)=8
(2+0)+(4-4)=2;(3-1)-(5*5)=3
(1*1)+(3*3)=10;(2/2)-(4/4)=21
(3-3)*(4+4)=0;(4*4)/(5-5)=1
2-(1+0)=1;3*(2-1)=2
2+(2-0)=4;3-(3*1)=5
(2*0)+0=0;(3/1)-1=1
(3+2)+(4-2)=7;(4-3)-(5*3)=8
(4-1)*(2*1)=6;(5*2)/(3/2)=7
(1+1)*(3*4)=24;(2-2)/(4/5)=35
(3+0)+(0*0)=3;(4-1)-(1/1)=4
(3*1)+(1*1)=4;(4/2)-(2/2)=5
(3+4)-(2*0)=7;(4-5)*(3/1)=8
(3+0)*(3+1)=12;(4-1)/(4-2)=23
(0*2)+(3*0)=0;(1/3)-(4/1)=1
(4*1)-(2-4)=6;(5/2)*(3*5)=7
(3+1)*(2*3)=24;(4-2)/(3/4)=35
(4*4)+(2-0)=18;(5/5)-(3*1)=29
0+(1*3)=3;1-(2/4)=4
(1-2)+(4+3)=6;(2*3)-(5-4)=7
(1*1)*(3*4)=12;(2/2)/(4/5)=23
(1+3)-3=1;(2-4)*4=2
(4+0)+(4+0)=8;(5-1)-(5-1)=9
(2*0)*0=0;(3/1)/1=1
1+(3+4)=8;2-(4-5)=9
(3-0)-0=3;(4*1)*1=4
(3*1)+(1*4)=7;(4/2)-(2/5)=8
(2+4)+(4*4)=22;(3-5)-(5/5)=33
(4*3)*(3-2)=12;(5/4)/(4*3)=23
(3-1)+(0-0)=2;(4*2)-(1*1)=3
(0*3)+(1*1)=1;(1/4)-(2/2)=2
(3+2)-(2-2)=5;(4-3)*(3*3)=6
(2*1)+(4*3)=14;(3/2)-(5/4)=25
(0-0)*(4-3)=0;(1*1)/(5*4)=1
(4*1)-(2+2)=0;(5/2)*(3-3)=1
(0*2)-(0*1)=0;(1/3)*(1/2)=1
(1*4)-1=3;(2/5)*2=4
(3+2)+(3*2)=11;(4-3)-(4/3)=22
(0*3)+(1*2)=2;(1/4)-(2/3)=3
(2+2)*(4-0)=16;(3-3)/(5*1)=27
(2*2)+(3*0)=4;(3/3)-(4/1)=5
(1-1)+(4-4)=0;(2*2)-(5*5)=1
(4+3)-1=6;(5-4)*2=7
(2+3)+(0-2)=3;(3-4)-(1*3)=4
(2-1)+(2-1)=2;(3*2)-(3*2)=3
3*(4+1)=15;4/(5-2)=26
(2+3)-(1*4)=1;(3-4)*(2/5)=2
(4-4)*(2-2)=0;(5*5)/(3*3)=1
(3-2)+2=3;(4*3)-3=4
(4*2)*(0+4)=32;(5/3)/(1-5)=43
(2+3)*(3*0)=0;(3-4)/(4/1)=1
(2-0)+(2-0)=4;(3*1)-(3*1)=5
(3*0)*2=0;(4/1)/3=1
(2*4)+(3+2)=13;(3/5)-(4-3)=24
(1*3)*(0*4)=0;(2/4)/(1/5)=1
(2-0)+1=3;(3*1)-2=4
(1+1)*(0+1)=2;(2-2)/(1-2)=3
(0-0)+(1+4)=5;(1*1)-(2-5)=6
4+(3*2)=10;5-(4/3)=21
(0+0)+(2+1)=3;(1-1)-(3-2)=4
(2+0)-(1+1)=0;(3-1)*(2-2)=1
(3+1)+(1+2)=7;(4-2)-(2-3)=8
(2*0)+(0*0)=0;(3/1)-(1/1)=1
(3*0)*(0*0)=0;(4/1)/(1/1)=1
(3+1)+(3+4)=11;(4-2)-(4-5)=22
(1*4)+(0-3)=1;(2/5)-(1*4)=2
(3*4)-(2+4)=6;(4/5)*(3-5)=7
(3*2)+(0*4)=6;(4/3)-(1/5)=7
(4-0)*(3-2)=4;(5*1)/(4*3)=5
(3*3)+(3-2)=10;(4/4)-(4*3)=21
(1*1)*(2+1)=3;(2/2)/(3-2)=4
(1*0)+(1-1)=0;(2/1)-(2*2)=1
(1-0)+(3-1)=3;(2*1)-(4*2)=4
(3-1)+(4+1)=7;(4*2)-(5-2)=8
(0-0)*(0-4)=0;(1*1)/(1*5)=1
(1+3)*(0+4)=16;(2-4)/(1-5)=27
(1+4)-(1+2)=2;(2-5)*(2-3)=3
(3*0)*(0*3)=0;(4/1)/(1/4)=1
(4-1)*(3-1)=6;(5*2)/(4*2)=7
(3-2)+(0+4)=5;(4*3)-(1-5)=6
(3*0)*(2+4)=0;(4/1)/(3-5)=1
(3-2)+(3+2)=6;(4*3)-(4-3)=7
(1+4)-(0*0)=5;(2-5)*(1/1)=6
(3*0)+3=3;(4/1)-4=4
(1*1)*(0+0)=0;(2/2)/(1-1)=1
(4*0)*(0*3)=0;(5/1)/(1/4)=1
(3*0)*(3*1)=0;(4/1)/(4/2)=1
(4-1)+(0-2)=1;(5*2)-(1*3)=2
(1*2)-(1-1)=2;(2/3)*(2*2)=3
(1*3)-(0*4)=3;(2/4)*(1/5)=4
2+(3*4)=14;3-(4/5)=25
(0+3)*(4-1)=9;(1-4)/(5*2)=0
3*(3*0)=0;4/(4/1)=1
(3+2)*(3*1)=15;(4-3)/(4/2)=26
(2-3)+(4+0)=3;(3*4)-(5-1)=4
(2-2)+3=3;(3*3)-4=4
(2-3)+(2*1)=1;(3*4)-(3/2)=2
(0*2)-(1-3)=2;(1/3)*(2*4)=3
(4+1)*(1-0)=5;(5-2)/(2*1)=6
(1*2)-(1+0)=1;(2/3)*(2-1)=2
(4-0)*(1+0)=4;(5*1)/(2-1)=5
(1-0)*2=2;(2*1)/3=3
(0*0)+(4+1)=5;(1/1)-(5-2)=6
(1*2)-(1*1)=1;(2/3)*(2/2)=2
(3*0)*(0+4)=0;(4/1)/(1-5)=1
(2*3)+(3*2)=12;(3/4)-(4/3)=23
(2+3)+(1*0)=5;(3-4)-(2/1)=6
(0+3)-(1*2)=1;(1-4)*(2/3)=2
(1*0)+1=1;(2/1)-2=2
(3*4)-2=10;(4/5)*3=21
(3*2)*(4*0)=0;(4/3)/(5/1)=1
(2*2)-(1-2)=5;(3/3)*(2*3)=6
(3*1)-(0*0)=3;(4/2)*(1/1)=4
(0-0)+(1-0)=1;(1*1)-(2*1)=2
(3*1)+(4*2)=11;(4/2)-(5/3)=22
(3*4)-(2-4)=14;(4/5)*(3*5)=25
(4*0)+(4-2)=2;(5/1)-(5*3)=3
2*(4*0)=0;3/(5/1)=1
(4+4)*(4+2)=48;(5-5)/(5-3)=59
(4+2)*(0-0)=0;(5-3)/(1*1)=1
(4*3)+(3+2)=17;(5/4)-(4-3)=28
(3+1)+(0*1)=4;(4-2)-(1/2)=5
(2-2)*(1+2)=0;(3*3)/(2-3)=1
(3+4)+(0-1)=6;(4-5)-(1*2)=7
(4-3)*(3-0)=3;(5*4)/(4*1)=4
(3-2)-(1-4)=4;(4*3)*(2*5)=5
(4-1)+(4-2)=5;(5*2)-(5*3)=6
(2*3)*(4*4)=96;(3/4)/(5/5)=07
(4+0)*(1+1)=8;(5-1)/(2-2)=9
(0+0)+(3*3)=9;(1-1)-(4/4)=0
(3*3)*0=0;(4/4)/1=1
(1*3)+(4-0)=7;(2/4)-(5*1)=8
(3-0)*(1+3)=12;(4*1)/(2-4)=23
(3+0)+(3+1)=7;(4-1)-(4-2)=8
(4+0)+(0-1)=3;(5-1)-(1*2)=4
(2*0)*(4+4)=0;(3/1)/(5-5)=1
(4-1)*(1-0)=3;(5*2)/(2*1)=4
(0+3)+(0+1)=4;(1-4)-(1-2)=5
(3+0)-(1-4)=6;(4-1)*(2*5)=7
(0*3)*(1+3)=0;(1/4)/(2-4)=1
(4-1)*(0*1)=0;(5*2)/(1/2)=1
(0-4)*(0+0)=0;(1*5)/(1-1)=1
(2+0)+(0+1)=3;(3-1)-(1-2)=4
(0*1)*(0+0)=0;(1/2)/(1-1)=1
(2-1)*(4+3)=7;(3*2)/(5-4)=8
(4+2)-(1-0)=5;(5-3)*(2*1)=6
(4+1)+(2-3)=4;(5-2)-(3*4)=5
(2*0)+(2-0)=2;(3/1)-(3*1)=3
(0+3)-(0+0)=3;(1-4)*(1-1)=4
(0+1)+(3-2)=2;(1-2)-(4*3)=3
(2+3)*(3+0)=15;(3-4)/(4-1)=26
(1-2)+(2-1)=0;(2*3)-(3*2)=1
(2+4)+(4*3)=18;(3-5)-(5/4)=29
(3-4)+(4+1)=4;(4*5)-(5-2)=5
(1+3)+(1*4)=8;(2-4)-(2/5)=9
(4*0)-(1-4)=3;(5/1)*(2*5)=4
(0+2)+(1*1)=3;(1-3)-(2/2)=4
(4*0)*(0+2)=0;(5/1)/(1-3)=1
(3+2)-(2*2)=1;(4-3)*(3/3)=2
(0-0)*(2*0)=0;(1*1)/(3/1)=1
4*(4+1)=20;5/(5-2)=31
(0*0)+(2-2)=0;(1/1)-(3*3)=1
(0*1)+(2+1)=3;(1/2)-(3-2)=4
(2+4)-2=4;(3-5)*3=5
0*(1*3)=0;1/(2/4)=1
(0*0)+3=3;(1/1)-4=4
(1+2)+(4-2)=5;(2-3)-(5*3)=6
(2*3)*(4*1)=24;(3/4)/(5/2)=35
(3+1)*(0*3)=0;(4-2)/(1/4)=1
(1-1)+(2-1)=1;(2*2)-(3*2)=2
(4+2)+(4*2)=14;(5-3)-(5/3)=25
(0+2)*(1+3)=8;(1-3)/(2-4)=9
(4*2)+(1+1)=10;(5/3)-(2-2)=21
(4*2)+(0+0)=8;(5/3)-(1-1)=9
4*(1+1)=8;5/(2-2)=9
(1*4)*(2+0)=8;(2/5)/(3-1)=9
(1*3)-(2-1)=2;(2/4)*(3*2)=3
(0*2)*(0-1)=0;(1/3)/(1*2)=1
(1*2)+(1+3)=6;(2/3)-(2-4)=7
(4*1)-(0*1)=4;(5/2)*(1/2)=5
(1*0)*(3-4)=0;(2/1)/(4*5)=1
(4-1)*(4-4)=0;(5*2)/(5*5)=1
(0+3)+(4*1)=7;(1-4)-(5/2)=8
(2+2)*(1*1)=4;(3-3)/(2/2)=5
(3-1)-(1*0)=2;(4*2)*(2/1)=3
(4-2)*(4-2)=4;(5*3)/(5*3)=5
(4*3)-(3+1)=8;(5/4)*(4-2)=9
(4*4)-(4-4)=16;(5/5)*(5*5)=27
(3*4)-(1*0)=12;(4/5)*(2/1)=23
(4-0)-(0*0)=4;(5*1)*(1/1)=5
(1+2)*(0*0)=0;(2-3)/(1/1)=1
(0*4)*(0+1)=0;(1/5)/(1-2)=1
(3+4)-(2*2)=3;(4-5)*(3/3)=4
(4-0)*(2-0)=8;(5*1)/(3*1)=9
(0+4)-(1*0)=4;(1-5)*(2/1)=5
(3+3)+(4-1)=9;(4-4)-(5*2)=0
(1+2)*(4*0)=0;(2-3)/(5/1)=1
(4-0)*(2+4)=24;(5*1)/(3-5)=35
(1+4)+(0+0)=5;(2-5)-(1-1)=6
(1-0)*(1*0)=0;(2*1)/(2/1)=1
(3-0)+(4+0)=7;(4*1)-(5-1)=8
(3+1)*(3*3)=36;(4-2)/(4/4)=47
(3*4)*(3-2)=12;(4/5)/(4*3)=23
(4-3)-(1-0)=0;(5*4)*(2*1)=1
(4+3)-(3+2)=2;(5-4)*(4-3)=3
(3*0)*(0+1)=0;(4/1)/(1-2)=1
(2*3)+(0+4)=10;(3/4)-(1-5)=21
2+(2+3)=7;3-(3-4)=8
(4*0)*(4-0)=0;(5/1)/(5*1)=1
(4*1)-(2-3)=5;(5/2)*(3*4)=6
(3*4)+(4-1)=15;(4/5)-(5*2)=26
(2+0)+(3-4)=1;(3-1)-(4*5)=2
1*(2*3)=6;2/(3/4)=7
(4+2)+(1-1)=6;(5-3)-(2*2)=7
4+(3*3)=13;5-(4/4)=24
(0+0)+(2-2)=0;(1-1)-(3*3)=1
(4+0)+(3+0)=7;(5-1)-(4-1)=8
(2*2)*(4+3)=28;(3/3)/(5-4)=39
